Papers for Liqing Zhang, Virginia Polytechnic Institute and State University
S. Muthukrishnan ; VLDB 2001
S. Muthukrishnan ; VLDB 2005
S. Muthukrishnan ; AAAI 2014
S. Muthukrishnan ; WWW 2014
S. Muthukrishnan ; WWW 2006
S. Muthukrishnan ; WWW 2009
S. Muthukrishnan ; WWW 2010
S. Muthukrishnan ; WWW 2011
S. Muthukrishnan ; WWW 2010
S. Muthukrishnan ; WWW 2009
S. Muthukrishnan ; PODS 2006
S. Muthukrishnan ; PODS 2007
S. Muthukrishnan ; PODS 2011
S. Muthukrishnan ; PODS 2003
S. Muthukrishnan ; PODS 2005
S. Muthukrishnan ; PODS 2000
S. Muthukrishnan ; PODS 2001
S. Muthukrishnan ; PODS 2011
S. Muthukrishnan ; PODS 2000
S. Muthukrishnan ; PODS 2001
S. Muthukrishnan ; PODS 2010
S. Muthukrishnan ; STOC 2012
S. Muthukrishnan ; STOC 2002
S. Muthukrishnan ; STOC 2002
S. Muthukrishnan ; STOC 2000
S. Muthukrishnan ; STOC 2007
S. Muthukrishnan ; SODA 2009
S. Muthukrishnan ; SODA 2002
S. Muthukrishnan ; SODA 2002
S. Muthukrishnan ; SODA 2003
S. Muthukrishnan ; SODA 2002
S. Muthukrishnan ; SODA 2005
S. Muthukrishnan ; SODA 2003
S. Muthukrishnan ; SODA 2000
S. Muthukrishnan ; SODA 2006
S. Muthukrishnan ; SODA 2008
S. Muthukrishnan ; SODA 2003
S. Muthukrishnan ; SODA 2008
S. Muthukrishnan ; SODA 2005
S. Muthukrishnan ; SODA 2000
S. Muthukrishnan ; SODA 2005
S. Muthukrishnan ; SODA 2001
S. Muthukrishnan ; SODA 2003
S. Muthukrishnan ; SODA 2000
S. Muthukrishnan ; SODA 2002
S. Muthukrishnan ; SODA 2001
S. Muthukrishnan ; SODA 2002
S. Muthukrishnan ; SODA 2000
S. Muthukrishnan ; FOCS 2008
S. Muthukrishnan ; FOCS 2009
S. Muthukrishnan ; FOCS 2005
S. Muthukrishnan ; NIPS 2013

Papers for Feng Qian, Indiana University
Feng Qian ; PVLDB 2014
Feng Qian ; SIGMETRICS 2011
Feng Qian ; SIGMETRICS 2010
Feng Qian ; WWW 2012
Feng Qian ; PLDI 2003
Feng Qian ; SIGCOMM 2013

Papers for David Wagner, University of California - Berkeley
David Wagner ; ACM Conference on Computer and Communications Security 2004
David Wagner ; ACM Conference on Computer and Communications Security 2009
David Wagner ; ACM Conference on Computer and Communications Security 2014
David Wagner ; ACM Conference on Computer and Communications Security 2002
David Wagner ; ACM Conference on Computer and Communications Security 2011
David Wagner ; ACM Conference on Computer and Communications Security 2007
David Wagner ; ACM Conference on Computer and Communications Security 2008
David Wagner ; INFOCOM 2002
David Wagner ; WWW 2010
David Wagner ; IEEE Symposium on Security and Privacy 2001
David Wagner ; IEEE Symposium on Security and Privacy 2011
David Wagner ; IEEE Symposium on Security and Privacy 2006
David Wagner ; IEEE Symposium on Security and Privacy 2007
David Wagner ; IEEE Symposium on Security and Privacy 2000
David Wagner ; CHI 2015
David Wagner ; CHI 2014
David Wagner ; USENIX Security Symposium 2002
David Wagner ; USENIX Security Symposium 2009
David Wagner ; USENIX Security Symposium 2012
David Wagner ; USENIX Security Symposium 2001
David Wagner ; USENIX Security Symposium 2001
David Wagner ; USENIX Security Symposium 2004

Papers for Aravind Srinivasan, University of Maryland - College Park
Aravind Srinivasan ; SIGMETRICS 2003
Aravind Srinivasan ; SIGMETRICS 2005
Aravind Srinivasan ; PODC 2005
Aravind Srinivasan ; INFOCOM 2011
Aravind Srinivasan ; INFOCOM 2008
Aravind Srinivasan ; INFOCOM 2002
Aravind Srinivasan ; INFOCOM 2008
Aravind Srinivasan ; INFOCOM 2000
Aravind Srinivasan ; INFOCOM 2006
Aravind Srinivasan ; INFOCOM 2009
Aravind Srinivasan ; STOC 2013
Aravind Srinivasan ; STOC 2000
Aravind Srinivasan ; SODA 2003
Aravind Srinivasan ; SODA 2004
Aravind Srinivasan ; SODA 2004
Aravind Srinivasan ; SODA 2001
Aravind Srinivasan ; SODA 2007
Aravind Srinivasan ; SODA 2014
Aravind Srinivasan ; SODA 2015
Aravind Srinivasan ; SODA 2014
Aravind Srinivasan ; SODA 2000
Aravind Srinivasan ; SODA 2008
Aravind Srinivasan ; SODA 2001
Aravind Srinivasan ; FOCS 2013
Aravind Srinivasan ; FOCS 2010
Aravind Srinivasan ; FOCS 2001
Aravind Srinivasan ; FOCS 2002
Aravind Srinivasan ; FOCS 2005
Aravind Srinivasan ; KDD 2014
Aravind Srinivasan ; IEEE Symposium on Security and Privacy 2002

Papers for Ladislav Kavan, University of Pennsylvania
Ladislav Kavan ; ACM Trans. Graph. 2008
Ladislav Kavan ; ACM Trans. Graph. 2015
Ladislav Kavan ; ACM Trans. Graph. 2014
Ladislav Kavan ; ACM Trans. Graph. 2012
Ladislav Kavan ; ACM Trans. Graph. 2014
Ladislav Kavan ; ACM Trans. Graph. 2013
Ladislav Kavan ; ACM Trans. Graph. 2012
Ladislav Kavan ; ACM Trans. Graph. 2013
Ladislav Kavan ; ACM Trans. Graph. 2011
Ladislav Kavan ; ACM Trans. Graph. 2015
Ladislav Kavan ; ACM Trans. Graph. 2013

Papers for Michael J. Cafarella, University of Michigan
Michael J. Cafarella ; PVLDB 2011
Michael J. Cafarella ; PVLDB 2015
Michael J. Cafarella ; PVLDB 2015
Michael J. Cafarella ; PVLDB 2013
Michael J. Cafarella ; PVLDB 2014
Michael J. Cafarella ; PVLDB 2008
Michael J. Cafarella ; PVLDB 2009
