name,affiliation,homepage,scholarid
Pooya Farshim,University of York,https://farshim.wordpress.com,w_Pjc6MAAAAJ
Pooya Moradian Zadeh,University of Windsor,http://www.uwindsor.ca/science/computerscience/1047/dr-pooya-moradian-zadeh,x9lHn5IAAAAJ
Pooyan Jamshidi,University of South Carolina,https://pooyanjamshidi.github.io,Jre2RUQAAAAJ
Poppe:Ronald,Utrecht University,https://www.uu.nl/staff/RWPoppe,khmLnVIAAAAJ
Pornsiri Muenchaisri,Chulalongkorn University,https://www.cp.eng.chula.ac.th/en/about/faculty/pornsirim,NOSCHOLARPAGE
Posco Tso,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/tsoposco,NOSCHOLARPAGE
Poul G. Hjorth,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
Pourang Irani,University of Manitoba,http://www.cs.umanitoba.ca/~irani,lPYUHkIAAAAJ
Pourang P. Irani,University of Manitoba,http://www.cs.umanitoba.ca/~irani,lPYUHkIAAAAJ
Prabal Dutta,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~prabal,H790-zwAAAAJ
Prabal K. Dutta,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~prabal,H790-zwAAAAJ
Prabhakar Ragde,University of Waterloo,https://cs.uwaterloo.ca/~plragde,NOSCHOLARPAGE
Prabhanjan Ananth,Univ. of California - Santa Barbara,https://sites.google.com/site/prabhanjanva,xS_vRnYAAAAJ
Prabhanjan Vijendra Ananth,Univ. of California - Santa Barbara,https://sites.google.com/site/prabhanjanva,xS_vRnYAAAAJ
Prabhat Mishra 0001,University of Florida,http://www.cise.ufl.edu/~prabhat,ZlhpUZoAAAAJ
Pradeep K. Atrey,University at Albany - SUNY,http://www.cs.albany.edu/~patrey,2s3sftgAAAAJ
Pradeep K. Khosla,Univ. of California - San Diego,http://chancellor.ucsd.edu/chancellor-khosla,HtgKHRIAAAAJ
Pradeep K. Murukannaiah,TU Delft,https://ii.tudelft.nl/~pradeep,zezL27wAAAAJ
Pradeep Kumar Atrey,University at Albany - SUNY,http://www.cs.albany.edu/~patrey,2s3sftgAAAAJ
Pradeep Ravikumar,Carnegie Mellon University,http://www.cs.cmu.edu/~pradeepr,Q4DTPw4AAAAJ
Pradeep Sen,Univ. of California - Santa Barbara,https://www.ece.ucsb.edu/~psen,9_H57VkAAAAJ
Pradeep Varakantham,Singapore Management University,https://www.smu.edu.sg/faculty/profile/9641/Pradeep-Reddy-VARAKANTHAM,BAdQpFkAAAAJ
Pradeesha Ashok,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=PradeeshaAshok,kYEa1aIAAAAJ
Pradip K. Das,IIT Guwahati,http://www.iitg.ernet.in/pkdas,zNNnCEUAAAAJ
Pradip K. Srimani,Clemson University,https://people.cs.clemson.edu/~srimani,syrIRoQAAAAJ
Prahladh Harsha,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~prahladh,PTv2p1AAAAAJ
Prajakta Nimbhorkar,CMI,http://www.cmi.ac.in/~prajakta,hDBz3EUAAAAJ
Prakash Ishwar,Boston University,https://www.bu.edu/eng/profile/prakash-ishwar,RYvdtGcAAAAJ
