name,affiliation,homepage,scholarid,orcid
Ehud Rivlin,Technion,http://www.cs.technion.ac.il/~ehudr,NOSCHOLARPAGE,0009-0008-6432-9127
Ehud Shapiro,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1830,GVENdC8AAAAJ,0000-0000-0000-0000
Ehud Sharlin,University of Calgary,http://utouch.cpsc.ucalgary.ca,eAFxlZIAAAAJ,0000-0003-3881-2840
Ehud Y. Shapiro,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1830,GVENdC8AAAAJ,0000-0000-0000-0000
Eibe Frank,University of Waikato,http://www.cs.waikato.ac.nz/~eibe,dUV_NvIAAAAJ,0000-0001-6152-7111
Eiichi Yoshida,University of Tsukuba,https://staff.aist.go.jp/e.yoshida,XWZydeMAAAAJ,0000-0002-3077-6964
Eiji Aramaki,NAIST,http://luululu.com,IV2W5d8AAAAJ,0000-0003-0201-3609
Eike Kiltz,Ruhr-University Bochum,http://kiltz.net,8d8jP60AAAAJ,0000-0003-1178-048X
Eike Ritter,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/ritter-eike.aspx,01QHHq4AAAAJ,0009-0005-2100-8866
Eileen T. Kraemer,Clemson University,https://people.cs.clemson.edu/~etkraem,_5tjpG0AAAAJ,0000-0000-0000-0000
Einar J. Holsbø,UiT The Arctic Univ. of Norway,https://uit.no/ansatte/einar.j.holsbo,Ua6X3GkAAAAJ,0000-0000-0000-0000
Eirik Årsand,UiT The Arctic Univ. of Norway,https://uit.no/ansatte/eirik.arsand,NOSCHOLARPAGE,0000-0002-9520-1408
Eirina Bourtsoulatze,University of Essex,https://www.essex.ac.uk/people/bourt28406/eirina-bourtsoulatze,piQAo5YAAAAJ,0000-0000-0000-0000
Eirini Ntoutsi,Bundeswehr University Munich,https://aiml-research.github.io,RdA9uxYAAAAJ,0000-0001-5729-1003
Eisaku Sakane,National Inst. of Informatics,https://www.nii.ac.jp/en/faculty/architecture/sakane_eisaku,NOSCHOLARPAGE,0009-0007-9519-4563
Eitan Grinspun,University of Toronto,http://www.cs.columbia.edu/~eitan,0_vvBZkAAAAJ,0000-0003-4460-7747
Eitan Yaakobi,Technion,http://www.cs.technion.ac.il/people/yaakobi,Viv2E9AAAAAJ,0000-0002-9851-5234
Ekaterina Artemova,HSE University,https://www.hse.ru/staff/artemova,G0lCb3wAAAAJ,0000-0000-0000-0000
Ekaterina Kochmar,MBZUAI,https://mbzuai.ac.ae/study/faculty/ekaterina-kochmar,e2HTYnkAAAAJ,0000-0000-0000-0000
Ekaterina Komendantskaya,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/ekaterina-komendantskaya.htm,-HbSa84AAAAJ,0000-0002-3240-0987
Ekaterina Shutova,University of Amsterdam,https://www.illc.uva.nl/People/show_person.php?Person_id=Shutova+E.,jqOFBGoAAAAJ,0000-0000-0000-0000
Ekaterina Vylomova,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/738094-ekaterina-vylomova,JlVHhVUAAAAJ,0000-0000-0000-0000
Ekkart Kindler,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,0000-0000-0000-0000
El Houcine Bergou,Mohammed VI Polytechnic University,https://cc.um6p.ma/people/EL.BERGOU,qzxprWoAAAAJ,0000-0001-8685-6974
