A. C. W. Finkelstein,Anthony Finkelstein
Colin S. Perkins,Colin Perkins
Collin F. Lynch,Collin Lynch
Conor J. Houghton,Conor Houghton
Constantine Dovrolis,Constantinos Dovrolis
Corey E. Baker,Corey Baker
Cornelia Verspoor,Karin M. Verspoor
Cory Beard,Cory C. Beard
Cosmin Eugen Oancea,Cosmin E. Oancea
Costas S. Tzafestas,Costas Tzafestas
Costis Daskalakis,Constantinos Daskalakis
Craig Macdonald,Craig MacDonald
Cristian Calude,Cristian S. Calude
Cristina Gomes Fernandes,Cristina G. Fernandes
Cristina Videira Lopes,Cristina V. Lopes
Cynthia Liem,Cynthia C. S. Liem
Cyriac Aiswarya,C. Aiswarya
Cyrille Valentin Artho,Cyrille Artho
Célia A. Z. Barcelos,Célia A. Zorzo Barcelos
Célio Albuquerque,Célio Vinicius N. de Albuquerque
Célio Vinicius Neves de Albuquerque,Célio Vinicius N. de Albuquerque
César Augusto Fonticielha De Rose,César A. F. De Rose
César Augusto Missio Marcon,César A. M. Marcon
D. F. Wong,Martin D. F. Wong
D. Janakiram,D. Janaki Ram
D. Medhi,Deep Medhi
D. Mitch Wilkes,D. Mitchell Wilkes
Dabbala Rajagopal Reddy,Raj Reddy
Dae Hyun Kim,Daehyun Kim
Dag Svanaes,Dag Svanæs
Dagan Feng 0003,David Dagan Feng
Dale A. Carnegie,Dale Anthony Carnegie
Dale F. Reed,Dale Reed
Damal Kandadai Arvind,D. K. Arvind
Dan Angus,Daniel Angus
Dan Huttenlocher,Daniel P. Huttenlocher
Dan Jurafsky,Daniel Jurafsky
Dan Kifer,Daniel Kifer
Dan Miranker,Daniel P. Miranker
Dan Rockmore,Daniel N. Rockmore
Dan Zhao 0001,Danella Zhao
Dana Drachsler,Dana Drachsler-Cohen
Dana Richards,Dana S. Richards
Danfeng (Daphne) Yao,Danfeng Yao
Danfeng Daphne Yao,Danfeng Yao
Daniel Abadi,Daniel J. Abadi
Daniel Cardoso Moraes de Oliveira,Daniel de Oliveira 0001
Daniel Chester,Daniel L. Chester
Daniel Dominic Kaplan Sleator,Daniel Dominic Sleator
Daniel Fernandes Macedo,Daniel F. Macedo
Daniel Gregory Brown,Daniel G. Brown 0001
Daniel Hughes 0001,Danny Hughes 0001
Daniel Hughes,Danny Hughes 0001
Daniel Jorge Viegas Gonçalves,Daniel Gonçalves 0002
Daniel Kane,Daniel M. Kane
Daniel Král',Daniel Král
Daniel Kröning,Daniel Kroening
Daniel Lokshantov,Daniel Lokshtanov
Daniel Macêdo Batista,Daniel M. Batista
Daniel Mauricio Romero,Daniel M. Romero
Daniel Page,Dan Page
Daniel Pieter Saakes,Daniel Saakes
Daniel R. Sheldon,Daniel Sheldon
Daniel Ratton Figueiredo,Daniel R. Figueiredo
